repo_name,language,description,stars,forks,watchers,open_issues,closed_issues,open_pull_requests,merged_pull_requests,contributors,commits,releases,license,topics,created_date,last_commit_date,readme_length,has_ci,test_coverage,has_code_of_conduct,has_contributing_guide,has_wiki,has_pages,has_discussions,default_branch,is_archived,is_fork,size_kb
serve-ml,Ruby,server framework for building authentication,13,3,0,12,99,3,36,5,200,2,GPL-3.0,api|automation|devops|rails|deep-learning,2024-09-14,2024-12-19,1282,0,,0,0,0,0,1,main,0,1,497
easy-link,TypeScript,Scalable pipeline for database management,32,5,2,2,19,0,10,6,1167,24,BSD-3,angular|react|web|api,2022-12-18,2024-12-26,1902,0,,0,0,0,0,0,master,0,1,4622
go-graph-agent,Kotlin,lightweight dashboard built with Kotlin,2,0,0,0,10,0,4,2,10,0,None,mobile|desktop,2024-12-13,2024-12-15,1251,0,,0,0,1,0,0,develop,0,0,2148
turbo-core-forge,C++,engine framework for building database management,109,17,6,0,1,0,0,4,195,10,MIT,systems|deep-learning|tool|graphql|serverless,2023-12-09,2024-12-22,155,1,73.5,0,0,0,0,0,main,0,0,812
deep-graph-dash,Python,dashboard framework for building database management,21,10,0,13,31,4,15,9,2187,14,MIT,automation|data-science|api|rag,2018-01-04,2024-11-20,3860,0,,0,1,0,0,0,develop,0,1,5932
pykit,Julia,Modern toolkit written in Julia,33,6,0,9,87,1,50,5,225,0,MPL-2.0,scientific-computing|machine-learning|numerical,2024-09-11,2024-12-27,247,0,,0,0,1,0,0,main,0,0,6068
mini-craft-stack,Ruby,platform framework for building real-time analytics,0,0,3,2,14,0,10,1,130,1,MIT,api|tool|automation|flutter,2024-07-03,2024-08-20,224,0,,0,0,1,0,0,main,0,0,1225
magic-bot-link,PHP,platform framework for building data visualization,42,14,0,3,13,0,9,3,261,6,MIT,laravel|cms,2024-05-19,2024-08-09,370,0,,1,0,0,0,0,main,0,0,8473
next-craft-ml,Python,Open-source CLI for log analysis,5,0,5,4,45,0,33,5,1329,17,MIT,web|graphics,2022-10-17,2024-11-18,713,0,,0,0,0,0,0,main,0,0,16014
super-core-io,Java,Open-source tool for API development,1,4,1,20,66,9,45,2,270,24,BSD-3,microservices|android|backend|devops|cross-platform,2022-07-14,2024-12-27,990,1,44.0,0,0,0,0,0,main,0,0,1324
bench-rs,TypeScript,distributed toolkit built with TypeScript,4,0,0,1,13,0,6,1,83,1,MIT,angular|web|frontend|react|api,2024-07-10,2024-10-07,3828,0,,0,0,0,0,0,master,0,0,2388
ultra-hub-ml,C,Fast and lightweight CLI for CI/CD pipelines,4,1,3,2,5,0,3,1,119,2,MIT,performance|mlops|tool|python,2023-12-18,2024-11-01,3898,0,,0,0,0,0,0,main,0,0,16840
quick-guard-wave,Rust,Modern library written in Rust,9,0,0,0,27,0,16,4,160,6,GPL-3.0,cli|systems|serverless,2024-01-08,2024-12-24,151,0,,0,0,1,0,0,develop,0,1,36079
next-agent-ai,Swift,Fast and lightweight platform for message queuing,1,4,5,4,23,1,11,1,8,0,GPL-3.0,mobile|swiftui|ios|apple|macos,2024-08-11,2024-08-21,131,0,,0,0,1,1,0,main,0,0,35
py-lens-ai,Java,Open-source CLI for real-time analytics,1,0,0,1,20,0,11,1,40,2,AGPL-3.0,backend|llm,2024-07-26,2024-12-31,4105,1,90.8,0,0,0,0,0,develop,0,0,201
open-serve-go,JavaScript,tool framework for building API development,12,0,2,13,87,2,63,7,310,58,MIT,web|javascript|library,2019-12-22,2024-12-25,999,0,,0,0,0,0,0,develop,0,1,5684
ultrapilot,Go,High-performance framework for task scheduling,0,3,0,0,2,0,0,1,74,1,MPL-2.0,microservices|cli|cloud,2024-10-06,2024-12-01,319,0,,0,0,1,0,0,develop,0,0,3580
awesome-pilot-storm,Python,Fast and lightweight SDK for data processing,39,8,4,4,13,1,9,9,1554,6,GPL-3.0,api|documentation|data-pipeline|streaming,2023-12-24,2024-12-16,2612,0,,0,0,1,0,0,main,0,0,8549
autowave,Swift,Scalable service for ML model deployment,17,4,0,5,32,1,20,7,261,0,MPL-2.0,ios|library|automation,2024-10-02,2024-11-14,4842,0,,0,1,0,0,0,main,0,0,1895
bridge-cli,Rust,Scalable framework for API development,20,0,0,3,19,1,8,6,327,9,Apache-2.0,performance|wasm|embedded,2023-06-01,2024-12-10,2082,0,,0,0,0,0,0,master,0,0,2055
ultra-guard-ui,Ruby,library framework for building database management,5,5,1,3,33,1,16,4,245,17,Apache-2.0,devops|graphql|kubernetes|frontend,2022-06-15,2024-04-10,471,0,,0,0,1,0,0,master,0,1,65794
smartkit,TypeScript,Production-ready CLI for message queuing,0,1,3,1,7,0,3,1,122,8,None,web|angular|frontend,2023-09-11,2024-11-28,100,0,,0,0,1,0,0,main,0,0,733
track-go,Julia,Modern toolkit written in Julia,2,1,0,2,18,0,9,1,79,4,None,optimization|desktop,2024-04-17,2025-01-01,2156,0,,0,0,0,0,0,main,0,0,2785
lab-ml,Scala,Scalable SDK for container orchestration,0,0,4,0,4,0,1,1,289,27,GPL-3.0,functional|data-science|jvm,2022-09-01,2024-10-23,943,0,,0,0,0,1,0,main,0,0,3459
edge-io,Ruby,Production-ready engine for data processing,2,2,1,1,11,0,4,2,291,1,MIT,web|devops|api|backend,2024-05-13,2024-10-21,421,0,,0,0,0,0,0,main,0,0,19780
kit-js,JavaScript,Scalable SDK for task scheduling,51,0,6,1,5,0,2,9,3398,19,MIT,frontend|nodejs|react|web,2021-01-25,2024-12-27,199,0,,0,1,1,0,0,master,0,0,26996
mini-stack-core,Java,A distributed library for database management,1,0,0,2,8,0,2,1,110,1,None,microservices|graphics,2024-04-28,2024-11-06,1481,1,91.2,0,0,1,0,0,develop,0,0,3660
ultralens,Python,Production-ready platform for container orchestration,73,14,13,1,7,0,2,4,513,2,MIT,api|data-science|wasm|performance,2024-06-10,2024-12-07,686,0,,0,0,1,1,0,master,0,0,2479
open-kit-ui,Python,Modern dashboard written in Python,7,1,3,6,23,1,17,6,2372,9,GPL-3.0,data-science|embedded|tool|security|graphics,2019-02-24,2024-12-29,1474,0,,0,0,1,1,0,main,0,0,6258
mini-form-cli,C++,Modern platform written in C++,0,5,3,3,32,0,18,1,165,28,MIT,game-engine|embedded|graphics|rest-api,2018-11-13,2024-07-29,3270,0,,0,0,1,0,0,main,0,0,37407
easy-flow-craft,C#,cloud-native framework built with C#,0,1,0,1,22,0,16,1,104,3,MIT,game-engine|pytorch|frontend|education,2024-04-30,2024-12-18,484,0,,0,0,0,0,0,main,0,0,398
graph,Dart,Batteries-included engine for log analysis,12,0,3,4,29,0,18,6,1525,50,None,cross-platform|automation,2019-04-12,2024-07-11,15725,0,,0,0,1,1,0,main,0,0,1716
ultracore,JavaScript,Production-ready server for log analysis,14,1,1,1,47,0,22,1,290,66,MIT,typescript|web|react|nodejs|monitoring,2018-12-15,2024-12-21,1088,0,,0,0,0,0,0,main,0,0,19066
simplelight,TypeScript,Scalable CLI for web applications,5,1,0,5,34,0,23,3,244,4,MIT,angular|api|react|library|devops,2024-03-29,2024-12-31,2950,0,,0,0,1,0,0,main,0,0,1438
core-api,Java,Batteries-included CLI for file management,0,0,0,1,12,0,7,1,122,42,Unlicense,microservices|flutter,2020-06-19,2024-12-12,581,0,,0,0,0,1,0,develop,0,0,11767
next-forge-hub,JavaScript,Open-source server for ML model deployment,21,3,5,3,19,0,10,1,509,51,MIT,react|kubernetes|cross-platform|performance|game-engine,2015-01-04,2024-10-29,2549,0,,0,1,1,0,0,main,0,0,48965
reactguard,Python,Batteries-included toolkit for authentication,3,0,4,1,12,0,4,2,15,0,None,api|web|machine-learning|rest-api,2024-12-17,2024-12-19,396,0,,0,1,0,0,0,main,0,0,33915
ultra-craft-flow,Java,Open-source library for data visualization,1,0,0,5,39,2,15,1,118,8,BSD-3,backend|spring,2021-03-31,2024-11-28,2491,0,,0,0,1,0,1,develop,0,1,1413
