total_commits,issues_count,pull_requests,size,team_size,commit_frequency,Effort_pm,language
200,12,20,10.0,5,4.081632653061225,2.0212966117357176,Ruby
1167,2,116,58.35,6,3.8642384105960264,6.678272006109587,TypeScript
10,0,1,0.5,2,0.032679738562091505,0.1,Kotlin
195,0,19,9.75,4,1.1746987951807228,0.5244929691800918,C++
2187,13,218,109.35,9,9.426724137931034,12.459815285053192,Python
225,9,22,11.25,5,1.7578125,1.9168822052220058,Julia
130,2,13,6.5,1,3.7142857142857144,0.5679290181433752,Ruby
261,3,26,13.05,3,9.666666666666666,1.0050645204094621,PHP
1329,4,132,66.45,5,8.153374233128835,8.434952630527427,Python
270,20,27,13.5,2,4.909090909090909,0.670274691985018,Java
83,1,8,4.15,1,0.36403508771929827,0.5430950313489028,TypeScript
119,2,11,5.95,1,0.4131944444444444,0.5184864422205135,C
160,0,16,8.0,4,3.7209302325581395,1.049113478219761,Rust
8,4,0,0.4,1,0.022284122562674095,0.1,Swift
40,1,4,2.0,1,3.6363636363636362,0.2805156043072438,Java
310,13,31,15.5,7,3.3333333333333335,2.0268747271928382,JavaScript
74,0,7,3.7,1,0.592,0.1,Go
1554,4,155,77.7,9,12.432,8.62549162383984,Python
261,5,26,13.05,7,2.5096153846153846,1.1844420353463014,Swift
327,3,32,16.35,6,1.0186915887850467,2.271246068494655,Rust
245,3,24,12.25,4,1.432748538011696,0.735702785558257,Ruby
122,1,12,6.1,1,0.48412698412698413,0.47220114474603864,TypeScript
79,2,7,3.95,1,0.43169398907103823,0.23140572073701773,Julia
289,0,28,14.45,1,1.680232558139535,1.2402980586021284,Scala
291,1,29,14.55,2,3.383720930232558,1.3969592317950352,Ruby
110,2,11,5.5,1,0.6432748538011696,0.5757206782750197,Java
513,1,51,25.65,4,1.425,2.642702659209975,Python
2372,6,237,118.6,6,21.962962962962962,13.95396259216749,Python
165,3,16,8.25,1,0.6395348837209303,1.1103673687383169,C++
104,1,10,5.2,1,0.3611111111111111,1.3189461618111646,C#
1525,4,152,76.25,6,5.258620689655173,8.716982371152012,Dart
290,1,29,14.5,1,0.90625,1.59406222342821,JavaScript
244,5,24,12.2,3,2.259259259259259,1.5979742709922775,TypeScript
122,1,12,6.1,1,2.1403508771929824,0.916528489034928,Java
509,3,50,25.45,1,1.4970588235294118,1.9318172936566473,JavaScript
15,1,1,0.75,2,0.12295081967213115,0.15413521530797092,Python
118,5,11,5.9,1,0.6742857142857143,0.6500374852771504,Java
22,4,2,1.1,1,0.15172413793103448,0.39510116081017,JavaScript
404,7,40,20.2,1,5.771428571428571,2.5141511192267796,C++
114,7,11,5.7,1,1.2,0.811076719538067,TypeScript
136,3,13,6.8,5,0.5112781954887218,0.7475390711538693,C++
528,3,52,26.4,5,4.4,3.2728831381332197,JavaScript
277,2,27,13.85,7,2.9157894736842107,1.9349087252379988,Swift
894,2,89,44.7,9,11.037037037037036,4.130712157363446,PHP
1613,0,161,80.65,5,19.670731707317074,8.088097251638285,TypeScript
820,6,82,41.0,4,2.404692082111437,5.1299966496421945,JavaScript
227,8,22,11.35,1,1.4276729559748427,1.2361135906843472,C++
42,5,4,2.1,1,0.2413793103448276,0.1,Python
296,21,29,14.8,3,0.896969696969697,2.111964306686711,JavaScript
373,6,37,18.65,6,1.3465703971119134,1.8384077745878469,Python
