stars,forks,language,total_commits,issues_count,team_size,KLOC,Effort_pm
13,3,Ruby,200,12,5,10.0,3.5566983186716747
32,5,TypeScript,1167,2,6,58.35,19.026741039956246
2,0,Kotlin,10,0,2,0.5,2.4521814214119875
109,17,C++,195,0,4,9.75,0.1
21,10,Python,2187,13,9,109.35,35.16518583693571
33,6,Julia,225,9,5,11.25,5.088200295966454
0,0,Ruby,130,2,1,6.5,3.516055300848519
42,14,PHP,261,3,3,13.05,5.333711160732285
5,0,Python,1329,4,5,66.45,21.702161565103324
1,4,Java,270,20,2,13.5,4.032679831677629
4,0,TypeScript,83,1,1,4.15,2.6185638065994485
4,1,C,119,2,1,5.95,0.5090481664837045
9,0,Rust,160,0,4,8.0,1.9048228587574911
1,4,Swift,8,4,1,0.4,1.5961791585808407
1,0,Java,40,1,1,2.0,0.1
12,0,JavaScript,310,13,7,15.5,6.604751534573224
0,3,Go,74,0,1,3.7,1.2338929328830943
39,8,Python,1554,4,9,77.7,24.913309543746877
17,4,Swift,261,5,7,13.05,5.1156708502859605
20,0,Rust,327,3,6,16.35,4.7120517483452815
5,5,Ruby,245,3,4,12.25,5.373708945034266
0,1,TypeScript,122,1,1,6.1,0.6314307448019469
2,1,Julia,79,2,1,3.95,1.7546761555733863
0,0,Scala,289,0,1,14.45,2.641495387128831
2,2,Ruby,291,1,2,14.55,2.675983879762157
51,0,JavaScript,3398,1,9,169.9,55.878657364197785
1,0,Java,110,2,1,5.5,0.24891061003560822
73,14,Python,513,1,4,25.65,7.056623754782292
7,1,Python,2372,6,6,118.6,34.8361947418211
0,5,C++,165,3,1,8.25,0.1928760563633074
0,1,C#,104,1,1,5.2,3.681655180057069
12,0,Dart,1525,4,6,76.25,24.662712955996586
14,1,JavaScript,290,1,1,14.5,4.9105670243984845
5,1,TypeScript,244,5,3,12.2,4.172137123737618
0,0,Java,122,1,1,6.1,1.7788430027930393
21,3,JavaScript,509,3,1,25.45,7.923240746596885
3,0,Python,15,1,2,0.75,2.178822539107633
1,0,Java,118,5,1,5.9,1.0286240430009914
0,0,JavaScript,22,4,1,1.1,3.075599003224525
4,3,C++,404,7,1,20.2,5.197984400442896
1,0,TypeScript,114,7,1,5.7,3.8705959151033804
28,11,Swift,2944,5,8,147.2,45.09145746846022
6,0,C++,136,3,5,6.8,1.2255156014755386
24,12,JavaScript,528,3,5,26.4,5.896120872274323
17,0,Swift,277,2,7,13.85,4.897316427082032
52,8,PHP,894,2,9,44.7,13.680944638716609
6,2,TypeScript,1613,0,5,80.65,22.583078706982615
4,3,JavaScript,820,6,4,41.0,11.258699636529519
5,0,C++,227,8,1,11.35,3.3785599842061984
2,4,Python,42,5,1,2.1,0.7496565258970372
8,0,JavaScript,296,21,3,14.8,4.578696152879182
16,0,Python,373,6,6,18.65,4.777869547085523
3,0,PHP,320,5,3,16.0,3.5213006095826245
26,4,C++,53,5,1,2.65,1.5301492725975483
2,0,C++,71,0,1,3.55,1.1750157312150993
0,0,PHP,35,0,1,1.75,1.2916508194339642
78,26,Java,294,3,9,14.7,5.457424473526236
33,16,Go,1086,2,6,54.3,16.60831449369504
14,0,Python,670,4,6,33.5,11.133706239814856
1,0,Python,65,0,1,3.25,0.1
1,6,C++,60,1,1,3.0,0.2587393287332751
16,6,Java,258,5,3,12.9,3.35007093814916
386,33,Go,2936,6,12,146.8,45.70077337798326
13,4,Ruby,272,3,2,13.6,2.846273681216671
47,12,Rust,1588,22,8,79.4,24.935173911276785
3,9,Go,140,5,1,7.0,2.3678922688806288
22,5,Go,140,2,3,7.0,0.1
6,0,JavaScript,1773,3,3,88.65,25.09312722895398
50,14,Python,151,1,7,7.55,2.9999844575011902
6,0,TypeScript,120,2,5,6.0,2.2411098963674507
5,0,JavaScript,602,4,3,30.1,7.917762574915134
16,6,TypeScript,1173,1,4,58.65,16.02609032414903
3,0,Kotlin,345,1,3,17.25,6.176604811802745
1,0,JavaScript,53,5,1,2.65,0.16858444111087567
65,24,Python,630,7,2,31.5,9.976841440095715
14,1,JavaScript,152,1,3,7.6,1.863444780476461
3,5,JavaScript,147,5,2,7.35,4.639941913545226
1,0,C++,326,9,1,16.3,5.783459159641772
11,0,Go,934,0,6,46.7,15.02439056545824
0,9,PHP,243,1,1,12.15,2.37356679617868
1,0,C++,74,6,1,3.7,0.2553535375099597
6,1,TypeScript,640,0,4,32.0,10.187776630737279
20,15,PHP,99,8,1,4.95,2.96534976442365
5,1,Python,177,5,4,8.85,3.995714574252931
40,18,Python,1209,14,6,60.45,19.475013303602054
33,11,Python,126,6,6,6.3,3.0450995406314645
78,7,C#,1922,13,10,96.1,28.453775002285948
5,0,Java,57,3,1,2.85,0.1
1,0,Python,89,2,1,4.45,1.9155722402595887
4,0,Java,689,4,4,34.45,8.723501627236843
12,2,Python,124,2,1,6.2,1.839857891203302
4,2,C++,178,3,4,8.9,2.172060752506264
1,12,Java,140,4,1,7.0,4.107369184603118
5,2,TypeScript,487,12,4,24.35,8.033446397540265
4,4,JavaScript,424,6,1,21.2,3.199568028376578
16,9,Rust,1596,9,7,79.8,24.095214087622804
3,3,TypeScript,263,16,2,13.15,5.306813304219414
2,0,Python,42,2,1,2.1,0.8538975021014398
7,0,Python,232,3,3,11.6,3.304439189176154
3,0,Dart,81,1,3,4.05,1.265246887304584
0,2,C,24,0,1,1.2,1.4881626272037254
24,5,C++,545,9,2,27.25,9.459609288269304
1,3,JavaScript,101,6,1,5.05,3.6288173674722053
0,0,Dart,56,6,1,2.8,0.22421912457428705
6,1,Ruby,160,8,2,8.0,3.007201151377552
2,8,C#,174,2,2,8.7,0.43177843832755913
0,0,Java,275,1,1,13.75,2.982589369157627
4,9,JavaScript,258,2,4,12.9,4.942771766514946
4,1,Python,301,4,3,15.05,6.010626862582923
132,42,C,887,1,8,44.35,14.231212668664318
42,14,Java,694,1,4,34.7,9.183242671652673
15,2,JavaScript,304,7,4,15.2,5.157397327481672
6,0,JavaScript,274,10,4,13.7,3.7852746672153286
33,7,Go,130,9,1,6.5,2.269658023468541
23,12,Python,127,14,8,6.35,1.2305193530816303
5,3,Kotlin,402,0,3,20.1,5.855223521311434
25,7,Ruby,322,1,9,16.1,6.408980388443873
10,0,C#,797,1,5,39.85,13.368038356985796
161,36,TypeScript,666,2,7,33.3,9.673315724482128
13,2,Rust,162,2,4,8.1,1.4984052443614053
42,12,Go,256,4,1,12.8,5.647511080726165
57,2,Rust,16,1,2,0.8,1.1198485970238787
99,11,Python,1278,29,3,63.9,19.863772531732554
33,10,TypeScript,105,10,5,5.25,1.3324178556934478
29,11,Python,201,4,4,10.05,0.7114958826779874
8,5,Java,324,2,3,16.2,3.6645203215075295
13,0,JavaScript,805,1,3,40.25,12.092808779591858
2,0,Python,22,20,1,1.1,0.1
8,5,Python,138,9,3,6.9,3.120282906585152
8,0,Go,1651,2,6,82.55,25.24059147016728
6,5,Python,105,8,3,5.25,1.7239147911864248
0,0,C,101,13,1,5.05,2.191857243106133
6,0,Go,1236,6,4,61.8,19.730590261073523
20,1,TypeScript,822,6,4,41.1,9.486652432815843
7,4,Go,515,3,2,25.75,7.11798613908945
7,0,Python,63,15,1,3.15,1.416729963567118
2,0,Dart,79,3,1,3.95,0.1
2,1,Java,101,11,1,5.05,0.915223514037218
0,2,PHP,56,10,1,2.8,0.6018765492144693
24,10,Python,61,0,2,3.05,0.7248122791672549
0,0,Java,159,2,1,7.95,1.3156618822446908
2,4,Java,162,4,1,8.1,2.514384965561198
0,2,Shell,12,0,1,0.6,0.1
7,9,Go,150,0,1,7.5,3.1947382584604522
2,0,Java,260,15,2,13.0,1.731105830339502
38,2,JavaScript,203,2,2,10.15,4.455526157789579
5,0,JavaScript,124,0,3,6.2,2.3497180056780027
4,1,Java,70,1,1,3.5,2.514510257043815
9,4,TypeScript,307,2,6,15.35,5.172472474683657
10,0,Python,852,2,4,42.6,13.139473736754306
0,0,Swift,22,0,1,1.1,0.1
34,12,Scala,1016,3,4,50.8,15.559573681401409
6,0,Python,388,18,3,19.4,4.189596389895747
47,1,Go,819,4,2,40.95,11.433338272832108
41,21,Python,1017,13,6,50.85,16.86154548761628
5,0,C++,147,4,1,7.35,2.6040882264488867
15,6,JavaScript,1475,3,7,73.75,24.535093135955254
0,5,Rust,159,9,1,7.95,2.8907464021878844
0,0,C#,23,7,1,1.15,0.1
2,0,Ruby,218,2,1,10.9,3.115332890445443
15,4,Python,432,3,6,21.6,5.743815253511689
5,2,C,31,10,1,1.55,1.4985710897759414
49,0,JavaScript,2082,1,11,104.1,32.219264098309345
6,0,Python,20,1,2,1.0,0.1
4,0,Go,994,4,3,49.7,14.962972353639689
16,0,TypeScript,1893,3,8,94.65,28.280422524173687
2,0,Swift,334,2,2,16.7,5.123080657078249
4,0,PHP,111,0,2,5.55,0.9367144011888302
45,4,JavaScript,3351,3,10,167.55,52.53349889585635
51,2,Dart,230,8,4,11.5,1.7919055181387187
0,0,JavaScript,275,14,1,13.75,4.808041005939314
13,0,Java,1208,2,6,60.4,17.291032368535706
52,13,JavaScript,855,7,5,42.75,10.95822667318327
0,6,Shell,150,1,1,7.5,2.1233225530386814
9,0,Python,546,13,3,27.3,8.602527306056343
2,3,Python,700,2,2,35.0,9.912870830163193
5,8,TypeScript,111,0,1,5.55,2.0985783184795626
57,1,R,1718,3,11,85.9,28.35656002173157
1,0,Scala,30,3,1,1.5,1.358897430355598
2,8,C#,14,8,1,0.7,2.1252071887978206
25,2,Scala,1113,10,3,55.65,14.257570042662438
2,2,Scala,18,8,1,0.9,0.1
1,0,Java,65,1,1,3.25,1.0293479256617177
10,6,JavaScript,145,8,3,7.25,2.2612728931346657
3,0,Ruby,174,8,2,8.7,3.5574397974252285
9,0,C++,1498,2,5,74.9,22.171444739810926
10,0,TypeScript,218,3,1,10.9,3.1218371508325635
1,0,Python,20,1,1,1.0,0.17490449501998692
28,9,C#,62,4,3,3.1,0.8634331669525817
7,0,JavaScript,674,6,4,33.7,10.337969699164185
2,2,Shell,438,5,2,21.9,5.920494322699193
6,2,JavaScript,554,6,3,27.7,7.956845600653917
3,0,Python,164,0,2,8.2,1.9642267878086757
6,0,Swift,118,8,1,5.9,1.5443655297050127
14,6,Python,723,1,4,36.15,12.261809921599072
0,5,Python,63,3,1,3.15,1.7058400765886141
45,1,Go,508,2,5,25.4,7.040064274119065
0,0,Kotlin,79,5,1,3.95,0.957194730130817
1,9,JavaScript,36,0,1,1.8,1.3034364423032376
107,5,JavaScript,2047,4,12,102.35,30.146836544015873
3,0,Ruby,65,0,1,3.25,3.0846593694077846
109,34,Julia,482,2,10,24.1,6.078718813473696
2,1,Java,224,0,1,11.2,2.94420903871049
10,9,Python,857,22,4,42.85,14.567362213420976
4,1,Python,146,6,3,7.3,2.337687004612336
5,6,JavaScript,275,1,1,13.75,5.512281133969587
76,16,Python,4516,3,12,225.8,69.29866099383884
1,0,C++,350,2,1,17.5,4.331277270901027
6,0,Python,896,5,3,44.8,12.194208660573494
0,0,Java,389,1,1,19.45,5.3851045217935
17,3,C++,265,7,7,13.25,3.6180844491106714
1,6,Go,90,5,1,4.5,1.4235558168089089
1,0,JavaScript,98,5,1,4.9,0.1
0,0,PHP,43,5,1,2.15,0.1
13,0,C#,16,2,2,0.8,0.1
12,5,C#,827,9,6,41.35,13.987211836083489
10,0,Python,118,3,4,5.9,1.2704640400442546
285,50,Python,1534,5,7,76.7,25.190133392121357
19,7,C,2630,1,8,131.5,38.09218550841905
6,0,TypeScript,500,8,3,25.0,8.482086960818197
7,0,JavaScript,112,7,4,5.6,1.6814889034052654
3,0,Java,282,0,3,14.1,5.783817193891047
45,18,C++,970,1,2,48.5,14.548546442794217
15,4,Dart,324,6,4,16.2,5.883064592403155
4,0,JavaScript,570,6,3,28.5,8.567226472536307
4,0,C,720,2,4,36.0,10.058038166833427
4,0,Python,265,23,1,13.25,4.962285884857159
11,3,Go,1319,4,5,65.95,16.54369350653316
3,0,Rust,204,0,2,10.2,3.1390118319072804
48,14,Python,1389,0,6,69.45,23.651171117223974
